Mascota,Edad,Tamaño,Sexo,Patron de pelaje,Color de pelaje 1,Color de pelaje 2,Color de pelaje 3,Largo de pelaje,Color de ojos,Largo de hocico,Largo de cola,Largo de orejas,Tipo de orejas
26,Adulto,,Macho,Bicolor,Negro,Blanco,,Corto,Marron oscuro,Largo,Corto,Mediano,Caidas
27,Adulto,Grande,,Tricolor,Negro,Marron,Blanco,Corto,Marron oscuro,,,Mediano,Caidas
28,Adulto,Mediano,,Liso,,,,Mediano,,,Largo,Cortas,Caidas
29,Cachorro,Chico,,Liso,,,,Corto,Marron oscuro,,Largo,,Caidas
30,,,,Liso,Negro,,,Mediano,,Largo,,Mediano,Paradas
31,,Mediano,,Bicolor,Negro,Blanco,,Corto,Marron oscuro,,Corto,,Caidas
32,,Chico,Hembra,Bicolor,Negro,,,,,Corto,Corto,Largas,
33,,Chico,Hembra,,,,,Largo,,,Largo,,
34,,Grande,Macho,Bicolor,Negro,Blanco,,Corto,,Largo,Cortada,Mediano,
35,Cachorro,Mediano,Macho,Liso,Blanco,,,Corto,,Largo,Largo,,
36,Adulto,Grande,Macho,Bicolor,Negro,Blanco,,Mediano,,Largo,Largo,Largas,
37,Cachorro,,,,Negro,,,,,,,Mediano,Caidas
38,Adulto,Chico,Indefinido,Tricolor,Negro,Marron,Blanco,Corto,Marron oscuro,,Largo,Largas,Caidas
39,Adulto,Muy grande,,Bicolor,Blanco,Negro,,Mediano,Marron oscuro,,,,Caidas
40,Adulto,Chico,Indefinido,Liso,Negro,,,Corto,,Corto,,,
41,,Mediano,Hembra,,,,,,Marron oscuro,Largo,Largo,Cortas,
42,Adulto,Chico,Indefinido,Liso,Blanco,,,Mediano,Marron oscuro,Corto,Corto,Mediano,
43,Adulto,Chico,,Bicolor,Liso,Negro,,Corto,,Largo,,Mediano,Caidas
44,Adulto,,,Bicolor,Negro,Marron,,Corto,Marron oscuro,,Corto,Mediano,Caidas
45,Adulto,Mediano,Hembra,Liso,Blanco,,,,Marron oscuro,,Corto,,Caidas
46,Adulto,Chico,Indefinido,Liso,,,,Corto,,Corto,Corto,Mediano,Caidas
47,,Chico,Indefinido,Bicolor,Negro,Blanco,,Mediano,,,Largo,Mediano,
48,,Mediano,Indefinido,,Negro,Marron,,,,Corto,Largo,,Caidas
49,Adulto,Grande,Hembra,Liso,Blanco,,,Corto,Marron oscuro,Largo,Largo,Mediano,Caidas
59,,,Indefinido,Bicolor,Negro,Blanco,,Corto,Marron oscuro,,Cortada,Mediano,